property_id	account_number	full_address	sqft	description	catchment_side	sale_date	sale_price
7396004522	461020800	4522 SPRUCE ST	3880	SEMI/DET 3.5 STY MASONRY	inside	2014-04-22	570500
7396004523	881700043	4523 SPRUCE ST	3680	APTS 5-50 UNITS MASONRY	inside	2006-05-30	1
7396004524	461020900	4524 SPRUCE ST	3640	SEMI/DET 3.5 STY MASONRY	inside	2000-07-26	242500
7396004525	881700045	4525 SPRUCE ST	4628	APTS 5-50 UNITS MASONRY	inside	1991-02-14	169250
7396004526	461021000	4526 SPRUCE ST	3640	SEMI/DET 3.5 STY MASONRY	inside	1984-11-07	30000
7396004528	881700600	4528 SPRUCE ST	3640	APTS 5-50 UNITS MASONRY	inside	2006-05-30	1
7396004529	881145600	4529-33 SPRUCE ST	24550	APTS 51-100 UNITS MASONRY	inside	2006-05-30	1
7396004530	881700700	4530 SPRUCE ST	3640	APTS 5-50 UNITS MASONRY	inside	2006-06-07	1
7396004532	881700800	4532 SPRUCE ST	3640	APTS 5-50 UNITS MASONRY	inside	2006-06-07	1
7396004534	881446700	4534-36 SPRUCE ST	7475	HEALTH FAC DISABLED FRAME	inside	2015-09-29	940000
7396004537	881145530	4537 SPRUCE ST	15552	APTS 5-50 UNITS MASONRY	inside	2012-12-26	1
7396004600	881122660	4600-04 SPRUCE ST	14772	APTS 5-50 UNITS MASONRY	outside	2006-05-30	1
7396004601	461013701	4601 SPRUCE ST	7000	DET 2.5 STY MASONRY	outside	2006-05-30	1
7396004606	461021600	4606 SPRUCE ST	3360	SEMI/DET 3.5 STY MASONRY	outside	2015-05-29	438000
7396004607	461013800	4607 SPRUCE ST	3200	SEMI/DET 4 STY MASONRY	outside	2003-12-30	390000
7396004608	461021700	4608 SPRUCE ST	3360	S/D CONV APT 4 STY MASON	outside	2005-12-02	1
7396004609	461013900	4609 SPRUCE ST	3200	S/D CONV APT 4 STY MASON	outside	2013-07-23	1
7396004610	461021800	4610 SPRUCE ST	3360	SEMI/DET 4 STY MASONRY	outside	2006-10-03	400000
7396004611	461014000	4611 SPRUCE ST	3200	SEMI/DET 4 STY MASONRY	outside	1983-08-02	87000
7396004612	461021900	4612 SPRUCE ST	3360	ROW CONV/APT 3 STY MASON	outside	2011-01-07	180000
7396004613	881700100	4613 SPRUCE ST	3200	APTS 5-50 UNITS MASONRY	outside	2005-12-02	1
7396004614	461022000	4614 SPRUCE ST	3360	S/D CONV APT 4 STY MASON	outside	2007-08-03	138000
7396004615	461014200	4615 SPRUCE ST	3200	S/D CONV APT 4 STY MASON	outside	2011-01-21	451000
7396004616	461022100	4616 SPRUCE ST	3360	S/D CONV APT 4 STY MASON	outside	2005-12-02	1
7396004617	881700200	4617 SPRUCE ST	3200	APTS 5-50 UNITS MASONRY	outside	2011-10-03	463000
7396004618	461022200	4618 SPRUCE ST	3360	SEMI/DET 4 STY MASONRY	outside	2015-02-26	480000
7396004619	881700300	4619 SPRUCE ST	3200	APTS 5-50 UNITS MASONRY	outside	2003-09-04	1
7396004620	461022302	4620 SPRUCE ST	3360	S/D CONV APT 4 STY MASON	outside	2011-11-18	470000
7396004621	881700400	4621 SPRUCE ST	3200	APTS 5-50 UNITS MASONRY	outside	2003-09-04	1
7396004622	461022400	4622 SPRUCE ST	3360	SEMI/DET 4 STY MASONRY	outside	2002-08-09	1
7396004623	461014600	4623 SPRUCE ST	3200	OFF BLD COM NO GAR MASON	outside	1989-10-31	157000
7396004624	461022500	4624 SPRUCE ST	3360	SEMI/DET 4 STY MASONRY	outside	2011-07-06	420000
7396004625	461014700	4625 SPRUCE ST	3200	S/D CONV APT 4 STY MASON	outside	1995-06-26	10
7396004626	881701000	4626 SPRUCE ST	3360	APTS 5-50 UNITS MASONRY	outside	2013-09-20	925000
7396004627	461014802	4627 SPRUCE ST	3200	S/D CONV APT 4 STY MASON	outside		12500
7396004628	881701020	4628 SPRUCE ST	3360	APTS 5-50 UNITS MASONRY	outside	1980-04-22	35000
7396004629	461014950	4629 SPRUCE ST	3200	S/D CONV APT 4 STY MASON	outside	2005-06-10	375000
7396004630	461022800	4630 SPRUCE ST	3360	SEMI/DET 4 STY MASONRY	outside	2000-08-31	137000
7396004631	461015000	4631 SPRUCE ST	1600	SEMI/DET 4 STY MASONRY	outside	2009-09-18	315000
7396004632	461022900	4632 SPRUCE ST	3360	SEMI/DET 4 STY MASONRY	outside	1980-04-30	61000
7396004633	461015100	4633 SPRUCE ST	3200	S/D W/D GAR 4 STY MASONRY	outside	2000-01-07	210000
6184004600	461038805	4600-04 OSAGE AVE	2625	S/D W/B GAR 3 STY MASONRY	inside	1991-02-01	211000
6184004606	461039100	4606 OSAGE AVE	2644	S/D W/B GAR 3 STY MASONRY	inside	2014-09-05	575000
6184004607	461032900	4607 OSAGE AVE	2685	S/D W/B GAR 3 STY MASONRY	inside	1984-07-11	115000
6184004608	461039200	4608 OSAGE AVE	2625	S/D W/B GAR 3 STY MASONRY	inside	2012-11-29	480000
6184004609	461033000	4609 OSAGE AVE	2685	S/D W/B GAR 3 STY MASONRY	inside	1994-06-28	136000
6184004610	461039300	4610 OSAGE AVE	2625	S/D W/B GAR 3 STY MASONRY	inside	1993-03-17	120000
6184004611	461033100	4611 OSAGE AVE	2685	S/D W/B GAR 3 STY MASONRY	inside	2010-12-06	450000
6184004612	461039400	4612 OSAGE AVE	2645	S/D W/B GAR 3 STY MASONRY	inside	2013-06-27	572000
6184004613	461033200	4613 OSAGE AVE	2685	S/D W/B GAR 3 STY MASONRY	inside	1987-09-18	216000
6184004614	461039500	4614 OSAGE AVE	2645	S/D W/B GAR 3 STY MASONRY	inside	2014-11-05	597000
6184004615	461033300	4615 OSAGE AVE	2685	S/D W/B GAR 3 STY MASONRY	inside	2004-09-08	435000
6184004616	461039600	4616 OSAGE AVE	2645	S/D W/B GAR 3 STY MASONRY	inside	2002-09-20	1
6184004617	461033400	4617 OSAGE AVE	2685	S/D W/B GAR 3 STY MASONRY	inside	2002-08-15	378240
6184004618	461039700	4618 OSAGE AVE	2645	S/D W/B GAR 3 STY MASONRY	inside	2011-12-28	395000
6184004619	461033500	4619 OSAGE AVE	2685	S/D W/B GAR 3 STY MASONRY	inside	2003-07-31	325000
6184004620	461039800	4620 OSAGE AVE	2645	S/D W/B GAR 3 STY MASONRY	inside	2006-12-13	1
6184004621	461033600	4621 OSAGE AVE	2520	S/D W/B GAR 3 STY MASONRY	inside	1993-11-23	107000
6184004622	461039900	4622 OSAGE AVE	2645	S/D W/B GAR 3 STY MASONRY	inside	1990-10-05	145000
6184004623	461033700	4623 OSAGE AVE	2685	S/D W/B GAR 3 STY MASONRY	inside	2006-09-02	625000
6184004624	461040000	4624 OSAGE AVE	2625	S/D W/B GAR 3 STY MASONRY	inside	2010-09-08	483000
6184004625	461033800	4625 OSAGE AVE	2685	S/D W/B GAR 3 STY MASONRY	inside	2013-08-12	540000
6184004626	461040100	4626 OSAGE AVE	2625	S/D W/B GAR 3 STY MASONRY	inside	2015-11-17	1
6184004627	461033900	4627 OSAGE AVE	2685	S/D W/B GAR 3 STY MASONRY	inside	2012-05-23	417000
6184004628	461040200	4628 OSAGE AVE	2625	S/D W/B GAR 3 STY MASONRY	inside	2003-06-26	418000
6184004629	461034000	4629 OSAGE AVE	2685	S/D W/B GAR 3 STY MASONRY	inside	2009-03-09	3
6184004630	461040300	4630 OSAGE AVE	2625	S/D W/B GAR 3 STY MASONRY	inside	2004-08-10	433000
6184004714	461040600	4714 OSAGE AVE	1920	ROW B/GAR 2 STY MASONRY	outside	2009-05-15	314000
6184004715	461034300	4715 OSAGE AVE	1858	ROW B/GAR 2 STY MASONRY	outside	1975-01-16	20000
6184004716	461040700	4716 OSAGE AVE	1576	ROW B/GAR 2 STY MASONRY	outside	1998-10-30	1
6184004717	461034400	4717 OSAGE AVE	1510	ROW B/GAR 2 STY MASONRY	outside	2004-04-23	10
6184004718	461040800	4718 OSAGE AVE	1456	ROW B/GAR 2 STY MASONRY	outside	1998-09-29	78000
6184004719	461034500	4719 OSAGE AVE	1510	ROW B/GAR 2 STY MASONRY	outside	1970-12-08	14500
6184004720	461040900	4720 OSAGE AVE	1480	ROW B/GAR 2 STY MASONRY	outside	1998-04-20	77000
6184004721	461034600	4721 OSAGE AVE	1510	ROW B/GAR 2 STY MASONRY	outside	2000-12-15	75000
6184004722	461041000	4722 OSAGE AVE	1480	ROW B/GAR 2 STY MASONRY	outside	2011-08-24	295000
6184004723	461034700	4723 OSAGE AVE	1510	ROW B/GAR 2 STY MASONRY	outside	2007-05-24	1
6184004724	461041100	4724 OSAGE AVE	1480	ROW B/GAR 2 STY MASONRY	outside	2008-11-26	217000
6184004725	461034800	4725 OSAGE AVE	1510	ROW CONV/APT 2 STY MASON	outside	2005-03-31	252000
6184004726	461041200	4726 OSAGE AVE	1480	ROW B/GAR 2 STY MASONRY	outside	2010-04-07	300000
6184004727	461034900	4727 OSAGE AVE	1510	ROW B/GAR 2 STY MASONRY	outside	2015-03-31	290000
6184004728	461041300	4728 OSAGE AVE	1480	ROW B/GAR 2 STY MASONRY	outside	2011-02-16	59000
6184004729	461035000	4729 OSAGE AVE	1510	ROW B/GAR 2 STY MASONRY	outside	2012-08-23	3
6184004730	461041400	4730 OSAGE AVE	1480	ROW B/GAR 2 STY MASONRY	outside	2015-01-14	271000
6184004731	461035100	4731 OSAGE AVE	1510	ROW B/GAR 2 STY MASONRY	outside	2000-08-09	89000
6184004732	461041500	4732 OSAGE AVE	1480	ROW B/GAR 2 STY MASONRY	outside		1
6184004733	461035200	4733 OSAGE AVE	1510	ROW B/GAR 2 STY MASONRY	outside	1995-08-03	60000
6184004734	461041600	4734 OSAGE AVE	1480	ROW B/GAR 2 STY MASONRY	outside	1997-03-31	78500
6184004735	461035300	4735 OSAGE AVE	1510	ROW B/GAR 2 STY MASONRY	outside	2011-09-17	1
6184004736	461041700	4736 OSAGE AVE	1480	ROW B/GAR 2 STY MASONRY	outside	1995-09-28	90000
6184004737	461035400	4737 OSAGE AVE	1510	ROW B/GAR 2 STY MASONRY	outside	1998-07-29	75000
6184004738	461041800	4738 OSAGE AVE	1480	ROW B/GAR 2 STY MASONRY	outside	2015-07-02	285000
6184004739	461035500	4739 OSAGE AVE	1886	ROW B/GAR 2 STY MASONRY	outside	1994-05-05	82500
6184004740	461041900	4740 OSAGE AVE	1480	ROW B/GAR 2 STY MASONRY	outside	1997-11-04	73000
6184004742	461042000	4742 OSAGE AVE	1480	ROW B/GAR 2 STY MASONRY	outside	1992-08-19	69000
6184004744	461042100	4744 OSAGE AVE	1820	ROW B/GAR 2 STY MASONRY	outside	2011-08-09	281000
4138004615	461058200	4615 HAZEL AVE	2880	SEMI/DET 3 STY MASONRY	inside	2009-05-01	3
4138004616	461064000	4616 HAZEL AVE	2880	SEMI/DET 3 STY MASONRY	inside	2010-11-09	595000
4138004617	461058300	4617 HAZEL AVE	2880	SEMI/DET 3 STY MASONRY	inside	1990-01-12	124500
4138004618	461064100	4618 HAZEL AVE	3360	SEMI/DET 3 STY MASONRY	inside	2009-12-30	499500
4138004619	461058400	4619 HAZEL AVE	2880	S/D CONV APT 3 STY MASON	inside	1997-05-30	11000
4138004620	461064200	4620 HAZEL AVE	2880	SEMI/DET 3 STY MASONRY	inside	1995-10-02	87000
4138004621	461058500	4621 HAZEL AVE	2880	S/D CONV APT 3 STY MASON	inside	2015-10-12	1
4138004622	461064300	4622 HAZEL AVE	2880	SEMI/DET 3 STY MASONRY	inside	2007-08-30	485000
4138004623	461058600	4623 HAZEL AVE	3040	S/D CONV APT 3 STY MASON	inside	2009-05-20	445000
4138004624	461064400	4624 HAZEL AVE	2880	SEMI/DET 3 STY MASONRY	inside	1972-12-01	21800
4138004625	881702010	4625 HAZEL AVE	2880	APTS 5-50 UNITS MASONRY	inside	2000-03-24	75000
4138004626	461064500	4626 HAZEL AVE	3264	S/D CONV APT 3 STY MASON	inside	1992-08-11	95000
4138004627	461058800	4627 HAZEL AVE	2880	SEMI/DET 3 STY MASONRY	inside	2014-05-09	560000
4138004628	461064600	4628 HAZEL AVE	2880	SEMI/DET 3 STY MASONRY	inside	1994-09-16	120000
4138004629	461058900	4629 HAZEL AVE	2880	SEMI/DET 3 STY MASONRY	inside	2015-01-09	475000
4138004630	461064700	4630 HAZEL AVE	2880	S/D CONV APT 3 STY MASON	inside	2007-01-12	1
4138004631	461059000	4631 HAZEL AVE	2880	S/D CONV APT 3 STY MASON	inside	2005-05-05	1
4138004632	461064800	4632 HAZEL AVE	2880	SEMI/DET 3 STY MASONRY	inside	2001-11-20	188500
4138004633	461059100	4633 HAZEL AVE	2880	SEMI/DET 3 STY MASONRY	inside	2008-08-19	560000
4138004634	461064900	4634 HAZEL AVE	2880	SEMI/DET 3 STY MASONRY	inside	2000-07-11	27000
4138004635	461059200	4635 HAZEL AVE	2880	ROW 3 STY MASONRY	inside	2012-05-07	557000
4138004636	461065000	4636 HAZEL AVE	2880	ROW CONV/APT 3 STY MASON	inside	2013-10-25	315000
4138004637	461059300	4637 HAZEL AVE	2363	ROW 3 STY MASONRY	inside	2003-11-14	250000
4138004638	461065100	4638 HAZEL AVE	2363	ROW CONV/APT 3 STY MASON	inside	1994-06-01	45000
4138004639	461059400	4639 HAZEL AVE	2363	ROW 3 STY MASONRY	inside	2002-03-25	215000
4138004640	461065200	4640 HAZEL AVE	2363	ROW CONV/APT 3 STY MASON	inside	2002-04-22	209000
4138004641	461059500	4641 HAZEL AVE	2880	ROW 3 STY MASONRY	inside	2002-07-26	222500
4138004642	461065300	4642 HAZEL AVE	2880	ROW 3 STY MASONRY	inside	1972-07-31	10000
4138004643	461059601	4643 HAZEL AVE	2880	ROW CONV/APT 3 STY MASON	inside	2006-10-23	290000
4138004644	461065400	4644 HAZEL AVE	2880	ROW 4 STY MASONRY	inside	2014-05-27	535000
4138004700	461066000	4700 HAZEL AVE	3024	S/D CONV APT 3 STY MASON	outside	2005-01-24	180000
4138004701	461060200	4701 HAZEL AVE	2640	S/D CONV APT 3 STY MASON	outside	1978-06-14	28500
4138004702	461066100	4702 HAZEL AVE	3000	S/D CONV APT 3 STY MASON	outside	1994-06-01	45000
4138004703	461060300	4703 HAZEL AVE	2640	SEMI/DET 3 STY MASONRY	outside	2015-04-06	1
4138004704	881702100	4704 HAZEL AVE	2800	APTS 5-50 UNITS MASONRY	outside	2010-05-18	1
4138004705	461060400	4705 HAZEL AVE	2640	S/D CONV APT 3 STY MASON	outside	2014-05-30	200000
4138004706	461066300	4706 HAZEL AVE	2640	S/D CONV APT 3 STY MASON	outside	2001-10-12	139000
4138004707	461060500	4707 HAZEL AVE	2640	S/D CONV APT 3 STY MASON	outside	1986-10-30	50000
4138004708	881702200	4708 HAZEL AVE	2880	APTS 5-50 UNITS MASONRY	outside	2009-04-13	10000
4138004709	461060600	4709 HAZEL AVE	2640	S/D CONV APT 3 STY MASON	outside	1991-10-18	1
4138004710	461066500	4710 HAZEL AVE	2640	S/D CONV APT 3 STY MASON	outside	1985-08-26	1
4138004711	461060700	4711 HAZEL AVE	2640	SEMI/DET 3 STY MASONRY	outside	2003-04-01	200000
4138004712	881702300	4712 HAZEL AVE	2640	APTS 5-50 UNITS MASONRY	outside	2006-05-16	1
4138004713	461060800	4713 HAZEL AVE	2640	S/D CONV APT 3 STY MASON	outside	2008-04-14	290000
4138004714	881702310	4714 HAZEL AVE	2640	APTS 5-50 UNITS MASONRY	outside	2001-04-26	121000
4138004715	461060900	4715 HAZEL AVE	2640	SEMI/DET 3 STY MASONRY	outside	2002-11-18	159950
4138004716	461066800	4716 HAZEL AVE	2640	SEMI/DET 3 STY MASONRY	outside	2014-07-03	340000
4138004717	461061000	4717 HAZEL AVE	2640	S/D CONV APT 3 STY MASON	outside	2009-10-13	200100
4138004718	461066900	4718 HAZEL AVE	2640	S/D CONV APT 3 STY MASON	outside	2009-09-09	240000
4138004719	461061100	4719 HAZEL AVE	2640	S/D CONV APT 3 STY MASON	outside	1987-07-22	38000
4138004720	461067000	4720 HAZEL AVE	2640	SEMI/DET 3 STY MASONRY	outside	2004-02-11	1
4138004721	461061200	4721 HAZEL AVE	2640	SEMI/DET 3 STY MASONRY	outside	2015-03-19	385000
4138004722	461067100	4722 HAZEL AVE	2640	SEMI/DET 3 STY MASONRY	outside	2005-03-18	1
4138004723	461061300	4723 HAZEL AVE	2640	SEMI/DET 3 STY MASONRY	outside	2014-09-24	250000
4138004724	461067200	4724 HAZEL AVE	2640	SEMI/DET 3 STY MASONRY	outside	1980-11-13	64000
4138004725	461061400	4725 HAZEL AVE	3040	SEMI/DET 3 STY MASONRY	outside	1991-12-10	1
4138004726	461067300	4726 HAZEL AVE	2640	SEMI/DET 3 STY MASONRY	outside	2007-05-04	1
4138004727	461061500	4727 HAZEL AVE	2640	S/D CONV APT 3 STY MASON	outside	1999-09-21	1
4138004728	461067400	4728 HAZEL AVE	2640	SEMI/DET 3 STY MASONRY	outside	2012-04-02	3
4138004729	461061600	4729 HAZEL AVE	2640	S/D CONV APT 3 STY MASON	outside	2015-03-31	389000
4914004605	461046500	4605 LARCHWOOD AVE	2748	S/D W/B GAR 3 STY MASONRY	inside	2009-07-30	535000
4914004607	461046600	4607 LARCHWOOD AVE	2748	S/D W/B GAR 3 STY MASONRY	inside	2008-11-21	537000
4914004609	461046700	4609 LARCHWOOD AVE	2748	S/D W/B GAR 3 STY MASONRY	inside	1999-04-21	1
4914004611	461046800	4611 LARCHWOOD AVE	2748	S/D W/B GAR 3 STY MASONRY	inside	2000-12-08	168000
4914004613	461046900	4613 LARCHWOOD AVE	2748	S/D W/B GAR 3 STY MASONRY	inside	1996-12-16	120000
4914004615	461047000	4615 LARCHWOOD AVE	2748	S/D W/B GAR 3 STY MASONRY	inside	1972-07-14	32750
4914004616	461052300	4616 LARCHWOOD AVE	2718	SEMI/DET 3 STY MASONRY	inside	2014-08-15	570000
4914004617	461047100	4617 LARCHWOOD AVE	2820	S/D W/B GAR 3 STY MASONRY	inside	1983-06-17	71000
4914004618	461052400	4618 LARCHWOOD AVE	2718	S/D W/B GAR 3 STY MASONRY	inside	2014-09-30	1
4914004619	461047200	4619 LARCHWOOD AVE	2820	S/D W/B GAR 3 STY MASONRY	inside		1
4914004620	461052500	4620 LARCHWOOD AVE	2718	S/D W/B GAR 3 STY MASONRY	inside	2005-04-29	350000
4914004621	461047300	4621 LARCHWOOD AVE	2748	S/D W/B GAR 3 STY MASONRY	inside	2012-05-29	1
4914004622	461052600	4622 LARCHWOOD AVE	2718	S/D W/B GAR 3 STY MASONRY	inside	1975-06-04	17750
4914004623	461047400	4623 LARCHWOOD AVE	2768	S/D W/B GAR 3 STY MASONRY	inside	2015-10-28	1
4914004624	461052700	4624 LARCHWOOD AVE	2718	S/D CONV APT 3 STY MASON	inside	2013-12-28	75000
4914004625	461047500	4625 LARCHWOOD AVE	2908	S/D W/B GAR 3 STY MASONRY	inside		1
4914004626	461052800	4626 LARCHWOOD AVE	2718	S/D W/B GAR 3 STY MASONRY	inside	1993-12-31	89600
4914004627	461047600	4627 LARCHWOOD AVE	2878	S/D W/B GAR 3 STY MASONRY	inside	1998-07-06	149297
4914004628	461052900	4628 LARCHWOOD AVE	2718	SEMI/DET 3 STY MASONRY	inside	1993-12-15	110000
4914004629	461047700	4629 LARCHWOOD AVE	2748	S/D W/B GAR 3 STY MASONRY	inside	2002-05-31	275000
4914004630	461053000	4630 LARCHWOOD AVE	2718	S/D W/B GAR 3 STY MASONRY	inside	2011-08-16	548400
4914004631	461047800	4631 LARCHWOOD AVE	2820	S/D W/B GAR 3 STY MASONRY	inside	1971-08-10	25000
4914004632	461053100	4632 LARCHWOOD AVE	2718	S/D W/B GAR 3 STY MASONRY	inside	2000-05-11	165000
4914004633	461047900	4633-35 LARCHWOOD AVE	3385	DET W/GAR 3 STY MASONRY	inside		43000
4914004634	461053200	4634 LARCHWOOD AVE	2718	S/D W/B GAR 3 STY MASONRY	inside	2003-03-20	1
4914004636	461053300	4636 LARCHWOOD AVE	2718	S/D W/B GAR 3 STY MASONRY	inside	2015-07-01	610000
